CurrentTaxID,ScientificName,TaxonomicRank,TaxSuperKingdom,TaxPhylum,TaxClass,TaxOrder,TaxFamily,TaxGenus,TaxSpeciesGroup,TaxSpecies
817,Bacteroides fragilis,species,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,Bacteroides fragilis
818,Bacteroides thetaiotaomicron,species,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,Bacteroides thetaiotaomicron
820,Bacteroides uniformis,species,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,Bacteroides uniformis
821,Phocaeicola vulgatus,species,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,Phocaeicola vulgatus
823,Parabacteroides distasonis,species,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,,Parabacteroides distasonis
826,Sebaldella termitidis,species,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sebaldella,,Sebaldella termitidis
833,Fibrobacter succinogenes,species,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,,Fibrobacter succinogenes
839,Prevotella ruminicola,species,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,Prevotella ruminicola
850,Fusobacterium mortiferum,species,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,Fusobacterium mortiferum
853,Faecalibacterium prausnitzii,species,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,,Faecalibacterium prausnitzii
861,Fusobacterium ulcerans,species,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,Fusobacterium ulcerans
865,Pectinatus frisingensis,species,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Pectinatus,,Pectinatus frisingensis
873,Desulfocurvibacter africanus,species,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfocurvibacter,,Desulfocurvibacter africanus
876,Desulfovibrio desulfuricans,species,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,Desulfovibrio desulfuricans
879,Megalodesulfovibrio gigas,species,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Megalodesulfovibrio,,Megalodesulfovibrio gigas
881,Desulfovibrio vulgaris,species,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,Desulfovibrio vulgaris
894,Desulfobulbus propionicus,species,Bacteria,Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,,Desulfobulbus propionicus
897,Desulfococcus multivorans,species,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfococcus,,Desulfococcus multivorans
899,Desulfomicrobium baculatum,species,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,,Desulfomicrobium baculatum
901,Desulfovibrio piger,species,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,Desulfovibrio piger
907,Megasphaera elsdenii,species,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,,Megasphaera elsdenii
912,Nitrobacter hamburgensis,species,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,,Nitrobacter hamburgensis
